node_id_start,node_id_end,rel_type,link,status,start_date,end_date,sourceID
10002580,14106952,registered_address,registered address,,,,Panama Papers
10004460,14101133,registered_address,registered address,,,,Panama Papers
10023813,14105100,registered_address,registered address,,,,Panama Papers
10023840,14100712,registered_address,registered address,,,,Panama Papers
10010428,14093957,registered_address,registered address,,,,Panama Papers
10012916,14093957,registered_address,registered address,,,,Panama Papers
10016348,14091822,registered_address,registered address,,,,Panama Papers
10016353,14092974,registered_address,registered address,,,,Panama Papers
10022392,14098791,registered_address,registered address,,,,Panama Papers
10022689,14092925,registered_address,registered address,,,,Panama Papers
10033748,14104667,registered_address,registered address,,,,Panama Papers
10000580,14097397,registered_address,registered address,,,,Panama Papers
10005830,14093248,registered_address,registered address,,,,Panama Papers
10012274,14097854,registered_address,registered address,,,,Panama Papers
10008180,14108697,registered_address,registered address,,,,Panama Papers
12195425,10000601,officer_of,shareholder of,,17-NOV-2005,,Panama Papers
10012071,14093248,registered_address,registered address,,,,Panama Papers
10013135,14091822,registered_address,registered address,,,,Panama Papers
10022242,14100513,registered_address,registered address,,,,Panama Papers
10026712,14096975,registered_address,registered address,,,,Panama Papers
10027199,14103514,registered_address,registered address,,,,Panama Papers
10024231,14096615,registered_address,registered address,,,,Panama Papers
10027436,14106834,registered_address,registered address,,,,Panama Papers
10029532,14098217,registered_address,registered address,,,,Panama Papers
10029406,14097882,registered_address,registered address,,,,Panama Papers
10005123,14101807,registered_address,registered address,,,,Panama Papers
10009665,14095236,registered_address,registered address,,,,Panama Papers
10012825,14093957,registered_address,registered address,,,,Panama Papers
10012905,14100790,registered_address,registered address,,,,Panama Papers
10013900,14101150,registered_address,registered address,,,,Panama Papers
10013949,14093556,registered_address,registered address,,,,Panama Papers
10014066,14091545,registered_address,registered address,,,,Panama Papers
10016299,14108445,registered_address,registered address,,,,Panama Papers
10014625,14091194,registered_address,registered address,,,,Panama Papers
10017430,14093556,registered_address,registered address,,,,Panama Papers
10036099,14091064,registered_address,registered address,,,,Panama Papers
10005061,14099690,registered_address,registered address,,,,Panama Papers
10007086,14093957,registered_address,registered address,,,,Panama Papers
10008752,14101261,registered_address,registered address,,,,Panama Papers
10011281,14091822,registered_address,registered address,,,,Panama Papers
10011284,14091822,registered_address,registered address,,,,Panama Papers
10011431,14091822,registered_address,registered address,,,,Panama Papers
10014420,14101049,registered_address,registered address,,,,Panama Papers
10018378,14106107,registered_address,registered address,,,,Panama Papers
10023659,14099743,registered_address,registered address,,,,Panama Papers
10023335,14093181,registered_address,registered address,,,,Panama Papers
10025160,14106107,registered_address,registered address,,,,Panama Papers
10028819,14107739,registered_address,registered address,,,,Panama Papers
10030981,14093990,registered_address,registered address,,,,Panama Papers
10031641,14096243,registered_address,registered address,,,,Panama Papers
10032436,14101459,registered_address,registered address,,,,Panama Papers
10004108,14092871,registered_address,registered address,,,,Panama Papers
10008908,14106886,registered_address,registered address,,,,Panama Papers
10008307,14093388,registered_address,registered address,,,,Panama Papers
10009601,14091967,registered_address,registered address,,,,Panama Papers
10013530,14103085,registered_address,registered address,,,,Panama Papers
10014589,14091545,registered_address,registered address,,,,Panama Papers
10026860,14106107,registered_address,registered address,,,,Panama Papers
10027089,14097882,registered_address,registered address,,,,Panama Papers
